id,slug,title,pitch,category,tags,keyword,search_volume,growth_percent,competition,difficulty,revenue_range,opportunity_score,problem_score,feasibility_score,timing_score,signal_count,competitor_names,created_at,updated_at,url,tracked_url
34,trade-invoice-autopilot,Automated invoice follow-up system for plumbers and trade contractors,Invoice reminders on autopilot for trades - polite nudge to firm follow-up to collections warning. Because plumbers are owed $47K they forgot to chase.,SaaS,Invoicing|Trades|Collections,invoice reminder software contractors,720,45,Low,Easy,$1M - $5M,10,10,9,9,1,FreshBooks|QuickBooks|Jobber|Invoice Ninja,2026-05-22 12:28:33,2026-05-22 12:28:33,https://businessideasdb.com/idea/trade-invoice-autopilot,https://businessideasdb.com/idea/trade-invoice-autopilot?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
41,legal-citation-verifier,AI legal research tool that verifies every case citation is real before filing,Write your brief with AI. Every citation gets verified against actual court records. Never file a hallucinated case again.,SaaS,Legal|AI|Research,legal citation verification tool,720,89,Low,Hard,$5M - $20M,10,10,6,10,1,Westlaw|LexisNexis|CoCounsel|vLex Vincent AI,2026-05-22 12:39:02,2026-05-22 12:39:02,https://businessideasdb.com/idea/legal-citation-verifier,https://businessideasdb.com/idea/legal-citation-verifier?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
39,quickbooks-invoice-autopilot,Email-to-QuickBooks invoice automation for small businesses,"Forward an invoice email, get it auto-entered into QuickBooks. No typing, no scanning, no data entry. Just forward and done.",SaaS,Accounting|Automation|QuickBooks,automate invoices into quickbooks,1900,41,Medium,Easy,$1M - $5M,9,9,9,9,1,Dext (Receipt Bank)|QuickBooks Receipt Capture|Hubdoc|Zapier + AI,2026-05-22 12:38:57,2026-05-22 12:38:57,https://businessideasdb.com/idea/quickbooks-invoice-autopilot,https://businessideasdb.com/idea/quickbooks-invoice-autopilot?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
37,sub-insurance-tracker,Automated subcontractor compliance and COI tracking for construction firms,"Stop chasing subs for expired insurance certificates. Auto-track COIs, licenses, and lien waivers - get alerts before anything lapses.",SaaS,Construction|Compliance|Insurance,subcontractor insurance tracking software,390,58,Low,Medium,$1M - $5M,9,10,8,8,1,myCOI|Procore|TradeTapp|Spreadsheets,2026-05-22 12:38:51,2026-05-22 12:38:51,https://businessideasdb.com/idea/sub-insurance-tracker,https://businessideasdb.com/idea/sub-insurance-tracker?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
35,whatsapp-invoice-ocr,AI-powered WhatsApp invoice scanner for Dutch accountants and ZZP'ers,"Drop a WhatsApp photo of a receipt, get structured data auto-entered into your accounting software. Kill 15-30 manual entries per day.",SaaS,Accounting|AI/OCR|Netherlands,factuur scanner boekhouding,590,67,Low,Medium,$500K - $2M,9,9,8,9,1,Exact Online|AutoEntry|Dext (Receipt Bank)|SnelStart,2026-05-22 12:28:36,2026-05-22 12:28:36,https://businessideasdb.com/idea/whatsapp-invoice-ocr,https://businessideasdb.com/idea/whatsapp-invoice-ocr?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
16,animated-micro-explainers,Ultra-condensed 3-minute animated explainers for complex concepts,Beautifully designed app delivering three-minute visual animations that break down difficult topics into instantly understandable lessons perfect for quick learning.,App,education|explainers|animation|learning|video,explainer video app,92000,34,Low,Medium,$500K-$2M ARR,9,9,8,9,,YouTube|TED-Ed|Brilliant|CuriosityStream,2026-05-12 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/animated-micro-explainers,https://businessideasdb.com/idea/animated-micro-explainers?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
32,solo-trade-field-service,"Lightweight field service app for solo tradespeople - no dispatching, no crew management","Dead-simple estimates, invoices, and payments for one-person HVAC, plumbing, and electrical operations. No team features, no enterprise bloat.",SaaS,Field Service|Trades|Solo Business,field service management software solo,880,34,Low,Medium,$500K - $2M,9,9,8,8,1,Jobber|ServiceTitan|Housecall Pro|Invoice Simple,2026-05-22 12:28:28,2026-05-22 12:28:28,https://businessideasdb.com/idea/solo-trade-field-service,https://businessideasdb.com/idea/solo-trade-field-service?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
17,vertical-video-book-summaries,TikTok-style vertical video book summaries in swipeable format,"Swipeable short-form vertical videos distilling bestselling books into 60-second animated summaries, making book insights as addictive as social media scrolling.",App,education|books|video|micro-learning|reading,book summary app,156000,67,Low,Medium,$500K-$2M ARR,9,9,7,9,,Blinkist|Headway|Shortform|YouTube,2026-05-11 10:00:00,2026-05-22 12:10:35,https://businessideasdb.com/idea/vertical-video-book-summaries,https://businessideasdb.com/idea/vertical-video-book-summaries?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
38,used-car-inspection-app,OBD2-powered used car inspection app for non-mechanics,Scan any used car with your phone + a $15 OBD2 dongle. Get a plain-English health report before you buy - no mechanic needed.,Mobile App,Automotive|Consumer|Inspection,used car inspection app,2400,33,Medium,Medium,$500K - $2M,9,8,7,9,1,FIXD|Carly|Torque Pro|CarFax,2026-05-22 12:38:54,2026-05-22 12:38:54,https://businessideasdb.com/idea/used-car-inspection-app,https://businessideasdb.com/idea/used-car-inspection-app?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
36,repeat-sales-crm,"Simple CRM for product companies with repeat purchases - filters, cartridges, refills, blades","Know when every customer is due for a refill. Auto-remind them. Track reorders. Built for companies selling consumable products, not enterprise sales teams.",SaaS,CRM|E-commerce|Retention,customer reorder reminder software,480,52,Low,Medium,$1M - $5M,9,8,8,8,1,HubSpot|Salesforce|Klaviyo|RepeatRewards,2026-05-22 12:28:39,2026-05-22 12:28:39,https://businessideasdb.com/idea/repeat-sales-crm,https://businessideasdb.com/idea/repeat-sales-crm?utm_source=github&utm_medium=dataset&utm_campaign=business-ideas-dataset
